ruleID,original,trained,train_hit_count
58,0.4140393,0.5409437,0
89,0.0669983,1.44e-05,0
117,0.0547039,-7e-07,0
149,0.1252858,1.1e-05,0
204,0.1322951,0.4449938,0
343,0.1742481,2.38e-05,0
370,0.0499376,3.2e-06,0
579,0.0547039,0.0547039,0
625,0.056629,0.056629,0
634,0.3821877,0.5805901,0
636,0.094251,0.2740567,0
651,0.0499376,0.0499376,0
672,0.07719,-4e-07,0
725,0.1883109,0.1883109,0
745,0.2961744,0.6567613,0
761,0.1051592,-7e-06,0
770,0.1374288,-1.7e-06,0
780,0.2066424,0.0001491,0
941,0.0499376,0.0499376,0
955,0.1883109,0.1883109,0
962,0.3224903,0.456586,0
993,0.0824786,0.0824786,0
1012,0.0864945,-1.37e-05,0
1022,0.1202657,-1.84e-05,0
1061,0.0864945,1.5e-06,0
1192,0.261712,0.261712,0
1215,0.0833747,1.34e-05,0
1359,0.0631666,-1.6e-06,0
1366,0.160324,-2.78e-05,0
1400,0.2783858,0.2783858,0
1478,0.0669983,0.0669983,0
1719,0.2301741,0.2301741,0
1751,0.115663,-4e-06,0
1765,0.3281651,0.418627,0
1843,0.1609036,0.0002886,0
1846,0.1924501,0.0114205,0
2005,0.059087,5.5e-06,0
2290,0.0582058,0.0582058,0
2330,0.0499376,-1.4e-06,0
2376,0.3572948,0.8567342,0
2579,0.2663118,0.2663118,0
2704,0.0856766,0.0856766,0
2883,0.1841608,-1e-05,0
2890,0.0703888,-0.009595,0
3131,0.0547039,0.0547039,0
3220,0.2381965,0.2381965,0
3297,0.1883109,0.1883109,0
3346,0.059087,0.059087,0
3356,0.0547039,0.0547039,0
3372,0.0940721,0.0940721,0
3483,0.1083061,-4.9e-06,0
3920,0.0888757,-7e-06,0
4164,0.1442492,-7.5e-06,0
4194,0.0864945,3.9e-06,0
4273,0.0499376,-2e-07,0
4410,0.0631666,6.1e-06,0
4483,0.0547039,4e-07,0
4509,0.1697853,-7.85e-05,0
4523,0.0920804,-2.9e-06,0
4551,0.1682813,0.1682813,0
4583,0.059087,0.059087,0
4617,0.140028,0.140028,0
4642,0.0499376,-1.1e-06,0
4655,0.0499376,-9e-07,0
4670,0.0835616,2.6e-06,0
4691,0.0631666,2.3e-06,0
4812,0.1957742,0.1957742,0
4821,0.1185738,0.000302,0
4846,0.1726878,-0.0001254,0
4907,0.1085565,0.1085565,0
4920,0.0699797,0.0028894,0
5007,0.0653895,0.0653895,0
5166,0.0706225,-6.5e-06,0
5240,0.1578819,-4.63e-05,0
5260,0.1321225,1.1e-05,0
5345,0.0997013,-3.3e-06,0
5466,0.0631666,1.04e-05,0
5495,0.077363,3.9e-06,0
5502,0.0631666,0.0631666,0
5510,0.091747,0.091747,0
5569,0.1364156,-8e-07,0
5641,0.3817708,0.705485,0
5677,0.0915929,0.0915929,0
5683,0.144733,6.7e-06,0
5690,0.1449428,6e-06,0
5749,0.118174,-5.8e-06,0
5821,0.0499376,0.0499376,0
5857,0.0571849,9e-07,0
5896,0.0547039,2.2e-06,0
5947,0.0630692,5.85e-05,0
5985,0.059087,-1.7e-05,0
6021,0.3273268,0.2599284,0
6029,0.2581989,0.1836175,0
6059,0.2201927,0.0001598,0
6061,0.0499376,0.0499376,0
6084,0.0611663,0.0611663,0
6167,0.1431496,-0.0001427,0
6231,0.091747,0.091747,0
6287,0.0669983,9.64e-05,0
6292,0.4833682,0.1407367,0
6480,0.1925775,-1.21e-05,0
6482,0.0547039,0.0547039,0
6688,0.2062842,0.2062842,0
6712,0.4264014,0.7657365,0
6724,0.0631666,0.0631666,0
6905,0.3409972,0.608073,0
6946,0.0835616,-5.4e-06,0
6988,0.1462154,0.1462154,0
7053,0.09475,0.09475,0
7344,0.1714986,2.66e-05,0
7360,0.0499376,0.0499376,0
7383,0.0547039,4e-07,0
7404,0.1085565,0.1085565,0
7531,0.1412449,0.1412449,0
7728,0.2474358,0.1423796,0
7759,0.059087,0.059087,0
7763,0.0997013,5e-06,0
7798,0.0645228,0.0645228,0
7841,0.0547039,0.0547039,0
7881,0.091747,0.091747,0
7893,0.1429694,-0.0001217,0
7970,0.080522,1.8e-06,0
7996,0.2459347,-0.0015347,0
8046,0.1683451,2.61e-05,0
8067,0.1375771,0.5344748,0
8074,0.1155934,0.1155934,0
8355,0.0645228,0.0645228,0
8389,0.2057378,0.1346762,0
8413,0.152795,-0.00017,0
8460,0.118174,0.0081118,0
8477,0.1825742,0.7309215,0
8656,0.1429996,0.0068005,0
8682,0.0864945,0.0864945,0
8715,0.0740695,-2.7e-06,0
8912,0.1714986,6.03e-05,0
9022,0.0776363,0.0776363,0
9040,0.0706225,-4.3e-06,0
9051,0.0499376,-2.2e-06,0
9056,0.059087,0.059087,0
9195,0.1071043,3.7e-06,0
9213,0.1223326,0.1223326,0
9230,0.2357023,0.003423,0
9268,0.25,0.1798846,0
9407,0.1651004,0.1651004,0
9447,0.1605403,0.4852622,0
9459,0.1939959,0.1005193,0
9473,0.10475,4.5e-06,0
9523,0.1961161,0.0001887,0
9536,0.144481,-6.4e-06,0
9556,0.09475,-4.5e-06,0
9621,0.2062842,0.2062842,0
9674,0.2850439,0.1879331,0
9717,0.0603682,-5.1e-06,0
9838,0.114146,-0.4834132,0
9855,0.2165063,0.2165063,0
9979,0.2041242,0.0189777,0
10152,0.1354985,-2.1e-06,0
10302,0.1412449,-3.11e-05,0
10313,0.2447044,0.1163209,0
10316,0.1124199,-0.0340784,0
10426,0.1215661,-2.61e-05,0
10532,0.0993127,0.0993127,0
10943,0.115663,5.9e-06,0
11095,0.0865022,0.0865022,0
11127,0.1883109,0.1883109,0
11190,0.1770362,-5.65e-05,0
11201,0.119038,0.119038,0
