ruleID,original,trained,train_hit_count
58,0.4140393,0.5683875,0
89,0.0669983,4.41e-05,0
117,0.0547039,-0.0001211,0
149,0.1252858,-9e-07,0
204,0.1322951,0.4860869,0
343,0.1742481,-0.0060153,0
370,0.0499376,-6e-07,0
579,0.0547039,0.0547039,0
625,0.056629,0.056629,0
634,0.3821877,0.6064587,0
636,0.094251,0.3231612,0
651,0.0499376,0.0499376,0
672,0.07719,0.0,0
725,0.1883109,0.1883109,0
745,0.2961744,0.7465428,0
761,0.1051592,-2.19e-05,0
770,0.1374288,0.0002149,0
780,0.2066424,0.1018337,0
941,0.0499376,0.0499376,0
955,0.1883109,0.1883109,0
962,0.3224903,0.5714314,0
993,0.0824786,0.0824786,0
1012,0.0864945,-3.89e-05,0
1022,0.1202657,0.000105,0
1061,0.0864945,-0.0001779,0
1192,0.261712,0.261712,0
1215,0.0833747,2.65e-05,0
1359,0.0631666,-0.0001436,0
1366,0.160324,0.0467361,0
1400,0.2783858,0.2783858,0
1478,0.0669983,0.0669983,0
1719,0.2301741,0.2301741,0
1751,0.115663,-4.87e-05,0
1765,0.3281651,0.5048654,0
1843,0.1609036,0.0011717,0
1846,0.1924501,0.1878983,0
2005,0.059087,-0.0002794,0
2290,0.0582058,0.0582058,0
2330,0.0499376,4.4e-06,0
2376,0.3572948,0.9525372,0
2579,0.2663118,0.2663118,0
2704,0.0856766,0.0856766,0
2883,0.1841608,-0.0,0
2890,0.0703888,-0.1320677,0
3131,0.0547039,0.0547039,0
3220,0.2381965,0.2381965,0
3297,0.1883109,0.1883109,0
3346,0.059087,0.059087,0
3356,0.0547039,0.0547039,0
3372,0.0940721,0.0940721,0
3483,0.1083061,-0.0,0
3920,0.0888757,0.0002075,0
4164,0.1442492,-8.4e-05,0
4194,0.0864945,-0.0,0
4273,0.0499376,-0.0,0
4410,0.0631666,3.3e-06,0
4483,0.0547039,-5.1e-05,0
4509,0.1697853,3.01e-05,0
4523,0.0920804,0.0,0
4551,0.1682813,0.1682813,0
4583,0.059087,0.059087,0
4617,0.140028,0.140028,0
4642,0.0499376,-0.0002048,0
4655,0.0499376,-0.0001491,0
4670,0.0835616,6e-06,0
4691,0.0631666,0.0,0
4812,0.1957742,0.1957742,0
4821,0.1185738,-0.0965376,0
4846,0.1726878,-3.21e-05,0
4907,0.1085565,0.1085565,0
4920,0.0699797,-0.0010838,0
5007,0.0653895,0.0653895,0
5166,0.0706225,-0.0001647,0
5240,0.1578819,0.0021054,0
5260,0.1321225,3.01e-05,0
5345,0.0997013,-5.3e-05,0
5466,0.0631666,1.3e-06,0
5495,0.077363,1.9e-05,0
5502,0.0631666,0.0631666,0
5510,0.091747,0.091747,0
5569,0.1364156,-0.0005929,0
5641,0.3817708,0.7302186,0
5677,0.0915929,0.0915929,0
5683,0.144733,0.0,0
5690,0.1449428,-3.6e-06,0
5749,0.118174,-5.07e-05,0
5821,0.0499376,0.0499376,0
5857,0.0571849,-1e-07,0
5896,0.0547039,1.7e-06,0
5947,0.0630692,-9.68e-05,0
5985,0.059087,-0.0002347,0
6021,0.3273268,0.3500229,0
6029,0.2581989,0.3127338,0
6059,0.2201927,-0.0028398,0
6061,0.0499376,0.0499376,0
6084,0.0611663,0.0611663,0
6167,0.1431496,-8.86e-05,0
6231,0.091747,0.091747,0
6287,0.0669983,-0.000555,0
6292,0.4833682,0.0690066,0
6480,0.1925775,1.01e-05,0
6482,0.0547039,0.0547039,0
6688,0.2062842,0.2062842,0
6712,0.4264014,0.8448656,0
6724,0.0631666,0.0631666,0
6905,0.3409972,0.6782095,0
6946,0.0835616,7e-06,0
6988,0.1462154,0.1462154,0
7053,0.09475,0.09475,0
7344,0.1714986,-0.0008226,0
7360,0.0499376,0.0499376,0
7383,0.0547039,7.12e-05,0
7404,0.1085565,0.1085565,0
7531,0.1412449,0.1412449,0
7728,0.2474358,0.1859474,0
7759,0.059087,0.059087,0
7763,0.0997013,-5e-07,0
7798,0.0645228,0.0645228,0
7841,0.0547039,0.0547039,0
7881,0.091747,0.091747,0
7893,0.1429694,0.0013264,0
7970,0.080522,-7.5e-06,0
7996,0.2459347,0.0957819,0
8046,0.1683451,0.0008806,0
8067,0.1375771,0.6387279,0
8074,0.1155934,0.1155934,0
8355,0.0645228,0.0645228,0
8389,0.2057378,0.2329381,0
8413,0.152795,-9e-05,0
8460,0.118174,0.1462326,0
8477,0.1825742,0.8116008,0
8656,0.1429996,0.1953824,0
8682,0.0864945,0.0864945,0
8715,0.0740695,-3.5e-06,0
8912,0.1714986,-0.0004513,0
9022,0.0776363,0.0776363,0
9040,0.0706225,0.0005878,0
9051,0.0499376,-9e-07,0
9056,0.059087,0.059087,0
9195,0.1071043,-0.0,0
9213,0.1223326,0.1223326,0
9230,0.2357023,-0.1210025,0
9268,0.25,0.2686128,0
9407,0.1651004,0.1651004,0
9447,0.1605403,0.5865732,0
9459,0.1939959,0.1753524,0
9473,0.10475,-0.0,0
9523,0.1961161,0.1381807,0
9536,0.144481,0.0027426,0
9556,0.09475,0.0002716,0
9621,0.2062842,0.2062842,0
9674,0.2850439,0.2831815,0
9717,0.0603682,1.1e-06,0
9838,0.114146,-0.5845172,0
9855,0.2165063,0.2165063,0
9979,0.2041242,0.1099562,0
10152,0.1354985,-4.7e-06,0
10302,0.1412449,0.0096357,0
10313,0.2447044,0.1972515,0
10316,0.1124199,-0.0879729,0
10426,0.1215661,-0.0003286,0
10532,0.0993127,0.0993127,0
10943,0.115663,-4.2e-06,0
11095,0.0865022,0.0865022,0
11127,0.1883109,0.1883109,0
11190,0.1770362,-0.0006279,0
11201,0.119038,0.119038,0
11202,0.07719,-7.9e-06,0
11311,0.1511295,-1.1e-05,0
11387,0.0631666,0.4960196,0
11561,0.2605786,0.4180751,0
11611,0.1223326,0.1223326,0
11722,0.0631666,0.0631666,0
11811,0.0800855,0.0800855,0
11835,0.077363,0.077363,0
11879,0.091747,0.091747,0
11983,0.0699797,-4e-07,0
11987,0.29277,0.3247088,0
12030,0.2228125,0.2228125,0
12168,0.3629553,0.6255247,0
12292,0.0499376,-0.0,0
12402,0.091747,0.091747,0
12445,0.1148759,0.0015975,0
12454,0.1883109,0.1883109,0
12475,0.0886659,2.54e-05,0
12509,0.0864945,-1.7e-06,0
12520,0.2341969,-0.1875319,0
12561,0.0706812,0.0706812,0
12657,0.255377,-0.002454,0
12740,0.2635231,0.4094159,0
12840,0.1116639,0.1116639,0
12895,0.118174,5.59e-05,0
13206,0.0888757,-3e-07,0
13229,0.0645228,0.0645228,0
13495,0.0547039,-4.34e-05,0
13580,0.1449428,0.3543316,0
13643,0.059087,0.059087,0
13707,0.0499376,-9.7e-05,0
13712,0.0499376,0.0499376,0
13713,0.0833747,-1.9e-06,0
13735,0.1179682,-7.65e-05,0
13771,0.0990471,-1e-07,0
13925,0.0573382,0.0573382,0
13929,0.0893311,0.0893311,0
13955,0.1993366,0.1993366,0
14125,0.0499376,-0.0,0
14193,0.0499376,0.0499376,0
14228,0.255377,0.0930386,0
14241,0.1770362,-0.0083053,0
14281,0.0499376,0.0008439,0
14372,0.1049109,-1.2e-06,0
14395,0.059087,-1.14e-05,0
14474,0.1587768,0.0,0
14506,0.1607965,0.1607965,0
14689,0.0631666,-1.66e-05,0
14731,0.0998752,0.0003822,0
14738,0.0629317,-0.0,0
14849,0.0893311,0.0893311,0
15001,0.080522,0.0003003,0
15003,0.2228125,0.2228125,0
15011,0.1261423,1.22e-05,0
15061,0.2385594,0.1429402,0
15249,0.0547039,0.0547039,0
15374,0.163144,6e-07,0
15444,0.1883109,0.1883109,0
15461,0.0704645,-1.7e-06,0
15520,0.0547039,0.0547039,0
15566,0.0547039,1e-07,0
15573,0.0499376,-0.0001356,0
15588,0.0706225,0.0706225,0
15646,0.0704645,0.0,0
15647,0.0856095,2.87e-05,0
15650,0.0893311,2.87e-05,0
15717,0.1894999,0.53078,0
15735,0.2165063,0.2165063,0
15809,0.1878673,-0.134287,0
15872,0.0669983,0.0669983,0
15950,0.2103516,0.2597928,0
15951,0.1649572,0.1649572,0
15999,0.0690889,5e-07,0
16065,0.0891313,-4.01e-05,0
16169,0.2076951,0.2076951,0
16274,0.059087,0.059087,0
16305,0.0848189,-0.0007656,0
16311,0.1378819,-3.5e-06,0
16341,0.0706812,0.0706812,0
16466,0.1304016,0.002808,0
16472,0.302765,0.4206795,0
16585,0.2205887,0.0973545,0
16668,0.091747,0.091747,0
16671,0.0864945,0.0864945,0
16787,0.0828011,0.0003591,0
16813,0.2743516,0.0414338,0
16844,0.0571849,-0.0009093,0
16963,0.2859388,0.5216631,0
16966,0.0499376,0.0499376,0
17025,0.3952847,0.9886013,0
17055,0.059087,0.059087,0
17150,0.056629,0.056629,0
17279,0.1781742,0.0004613,0
17370,0.059087,-6.72e-05,0
17391,0.0885904,3.59e-05,0
17433,0.2510482,-0.1524413,0
17555,0.1005038,0.1005038,0
17831,0.091747,0.091747,0
17853,0.1211936,0.0023145,0
17885,0.2277867,-0.163087,0
17901,0.0706225,0.0706225,0
17928,0.1138753,0.1138753,0
18065,0.1051592,0.0002681,0
18085,0.2331262,0.0850838,0
18124,0.298444,0.7993639,0
18125,0.1558573,-5.5e-06,0
18150,0.091747,0.091747,0
18278,0.2623469,0.2961796,0
18401,0.147442,-0.0053526,0
18577,0.0902404,-0.2095092,0
18578,0.1850583,0.251284,0
18640,0.125,0.125,0
18643,0.1593132,0.5603809,0
18651,0.0729602,0.0729602,0
18804,0.0947559,-0.1032277,0
18842,0.0499376,0.0499376,0
18906,0.136626,0.136626,0
18994,0.2057378,0.2552408,0
19005,0.2773501,0.3696879,0
19105,0.0922812,0.3511309,0
19139,0.1419905,4.9e-06,0
19170,0.1287194,0.1287194,0
19365,0.1819686,0.1819686,0
19397,0.1108832,0.1108832,0
19468,0.0669983,-0.0002581,0
19555,0.0706225,2.9e-06,0
19659,0.2381965,0.2381965,0
19767,0.0611663,0.0611663,0
19937,0.25,0.25,0
19969,0.1883109,0.1883109,0
19999,0.1521451,0.8123368,0
20024,0.0547039,0.0547039,0
20040,0.059087,0.059087,0
20070,0.0499376,-3.2e-06,0
20183,0.0547039,0.0547039,0
20206,0.0631666,5.4e-06,0
20220,0.0835616,3e-07,0
20231,0.1700814,0.1700814,0
20255,0.1071043,0.0002292,0
20324,0.3061862,0.3921642,0
20349,0.0893311,0.0893311,0
20440,0.1464504,0.0577789,0
20499,0.219089,0.0891926,0
20518,0.2062842,0.2062842,0
20599,0.3407771,0.6800596,0
20706,0.0547039,0.0547039,0
20707,0.2091353,-0.2529696,0
20739,0.2357023,0.1085175,0
20809,0.0547039,0.0547039,0
20905,0.077363,0.077363,0
20917,0.1049567,0.0013021,0
21105,0.1677849,0.000176,0
21179,0.1781742,0.1621774,0
21276,0.0893311,0.0893311,0
21312,0.1212084,2.84e-05,0
21330,0.0690889,0.0001809,0
21342,0.0676621,-3.9e-06,0
21363,0.1223356,0.1223356,0
21371,0.0662085,0.0662085,0
21409,0.1714986,-0.0001546,0
21412,0.1319909,0.1319909,0
21433,0.2804491,0.3991833,0
21553,0.2047344,0.1209012,0
21578,0.0834161,-1e-07,0
21636,0.1936492,-0.0844918,0
21646,0.1270001,0.0014463,0
21655,0.094538,8.94e-05,0
21670,0.1624591,-0.0019678,0
21749,0.0547039,0.0547039,0
21828,0.2098217,-0.1531708,0
